CFA,7,fl,1,2134,0.887066541705717,0.8872157610098621,0.8870426996048533,0.8871292218671415
NBC,7,fl,1,2134,0.8828491096532334,0.8829460615670673,0.8830294013798736,0.8829877295069867
CFA,7,fl,2,3404,0.9732667450058754,0.9730979852077475,0.9733591958940162,0.9732285730239043
NBC,7,fl,2,3404,0.9762044653349001,0.976139769667554,0.9760216176959777,0.9760806901062704
CFA,7,fl,3,3598,0.9933296275708727,0.9932377767805772,0.9933923595468446,0.9933150621495488
NBC,7,fl,3,3598,0.9936075597554197,0.9935657972377225,0.9935607225546451,0.993563259889704
CFA,7,fl,4,3643,0.9978040076859731,0.9976967546314808,0.9978432949427537,0.997770019406603
NBC,7,fl,4,3643,0.9978040076859731,0.99777215614195,0.997778335312502,0.9977752457176593
CFA,7,fl,5,3654,0.9983579638752053,0.9982497082847142,0.9983961233961234,0.9983229104720694
NBC,7,fl,5,3654,1.0,1.0,1.0,1.0
CFA,7,fl,10,3648,1.0,1.0,1.0,1.0
NBC,7,fl,10,3648,1.0,1.0,1.0,1.0
CFA,7,fl,15,3628,1.0,1.0,1.0,1.0
NBC,7,fl,15,3628,1.0,1.0,1.0,1.0
CFA,7,fl,20,3608,1.0,1.0,1.0,1.0
NBC,7,fl,20,3608,1.0,1.0,1.0,1.0
CFA,7,fl,25,3588,1.0,1.0,1.0,1.0
NBC,7,fl,25,3588,1.0,1.0,1.0,1.0
