CFA,7,fl,1,2134,0.9676663542642924,0.9676530310454929,0.968134024721151,0.967893468125996
NBC,7,fl,1,2134,0.936269915651359,0.9363195722582931,0.9366626689170224,0.9364910891630893
CFA,7,fl,5,3654,1.0,1.0,1.0,1.0
NBC,7,fl,5,3654,1.0,1.0,1.0,1.0
CFA,7,fl,10,3648,1.0,1.0,1.0,1.0
NBC,7,fl,10,3648,1.0,1.0,1.0,1.0
CFA,7,fl,15,3628,1.0,1.0,1.0,1.0
NBC,7,fl,15,3628,1.0,1.0,1.0,1.0
CFA,7,fl,20,3608,1.0,1.0,1.0,1.0
NBC,7,fl,20,3608,1.0,1.0,1.0,1.0
CFA,7,fl,25,3588,1.0,1.0,1.0,1.0
NBC,7,fl,25,3588,1.0,1.0,1.0,1.0
