CFA,7,in,1,2134,0.9479850046860356,0.9483533272245717,0.9481454874489909,0.9482493959480653
NBC,7,in,1,2134,0.9165885660731021,0.9168674819782832,0.9169167196187054,0.9168921001374718
CFA,7,in,5,3654,0.9997263273125342,0.999706572769953,0.9997474747474747,0.9997270233403567
NBC,7,in,5,3654,0.9997263273125342,0.999706572769953,0.9997474747474747,0.9997270233403567
CFA,7,in,10,3648,1.0,1.0,1.0,1.0
NBC,7,in,10,3648,1.0,1.0,1.0,1.0
CFA,7,in,15,3628,1.0,1.0,1.0,1.0
NBC,7,in,15,3628,1.0,1.0,1.0,1.0
CFA,7,in,20,3608,1.0,1.0,1.0,1.0
NBC,7,in,20,3608,1.0,1.0,1.0,1.0
CFA,7,in,25,3588,1.0,1.0,1.0,1.0
NBC,7,in,25,3588,1.0,1.0,1.0,1.0
