CFA,8,bl,1,2142,0.880485527544351,0.880924612066221,0.8805489194185885,0.8807367256779465
NBC,8,bl,1,2142,0.8594771241830066,0.8611324729992201,0.8605320182189875,0.860832140900566
CFA,8,bl,2,3387,0.9666371420135813,0.9664164286872078,0.9665029466444989,0.9664596857295705
NBC,8,bl,2,3387,0.9586654856805432,0.9587349473807506,0.9582461936303918,0.9584905081992127
CFA,8,bl,3,3577,0.9874196253844003,0.9874078180369192,0.987400983665714,0.9874044008394905
NBC,8,bl,3,3577,0.9846239865809338,0.9845420599435988,0.9843524419998864,0.9844472418409932
CFA,8,bl,4,3608,0.9944567627494457,0.994486570704731,0.9944181876776422,0.9944523780156054
NBC,8,bl,4,3608,0.9936252771618626,0.9935952818640437,0.9934227536971193,0.9935090102904713
CFA,8,bl,5,3611,0.998338410412628,0.9983941159326268,0.9983333333333333,0.9983637237078352
NBC,8,bl,5,3611,0.9972306840210468,0.9972288944870819,0.9971026454794574,0.9971657659872409
CFA,8,bl,10,3592,1.0,1.0,1.0,1.0
NBC,8,bl,10,3592,1.0,1.0,1.0,1.0
CFA,8,bl,15,3572,1.0,1.0,1.0,1.0
NBC,8,bl,15,3572,1.0,1.0,1.0,1.0
CFA,8,bl,20,3552,1.0,1.0,1.0,1.0
NBC,8,bl,20,3552,1.0,1.0,1.0,1.0
CFA,8,bl,25,3532,1.0,1.0,1.0,1.0
NBC,8,bl,25,3532,1.0,1.0,1.0,1.0
